Case ID;Activity;Start;Complete;Resource;Cost
1;Coordinate verification of polygon pits status;2022-04-01 08:05:14;2022-04-01 08:12:03;Clara;2539
1;Coordinate terrain revision;2022-04-01 08:27:45;2022-04-01 08:35:29;Clara;3267
1;Revise terrain;2022-04-01 10:12:49;2022-04-01 11:16:35;GM&PS;62704
1;Load pits with explosives;2022-04-01 11:23:45;2022-04-01 13:14:30;Hugo;55006
1;Design evacuation card;2022-04-01 13:18:36;2022-04-01 13:43:22;Rosa;10939
1;Evacuate blasting zone;2022-04-01 13:49:53;2022-04-01 14:15:32;Clara;12120
1;Execute blasting;2022-04-01 14:17:42;2022-04-01 14:32:34;Hugo;19277
1;Review blasting results;2022-04-01 14:43:42;2022-04-01 15:07:54;Clara;9014
1;Generate blasting report;2022-04-01 15:16:24;2022-04-01 15:29:58;Hugo;4025
2;Coordinate verification of polygon pits status;2022-04-01 15:38:34;2022-04-01 15:42:44;Clara;1552
2;Coordinate terrain revision;2022-04-01 15:58:30;2022-04-01 16:07:19;Clara;3725
2;Revise terrain;2022-04-01 17:42:26;2022-04-01 18:46:58;GM&PS;63458
2;Load pits with explosives;2022-04-01 18:55:07;2022-04-01 20:43:26;Hugo;53797
2;Design evacuation card;2022-04-01 20:46:45;2022-04-01 21:12:43;Rosa;11469
2;Evacuate blasting zone;2022-04-01 21:17:09;2022-04-01 21:45:01;Clara;13167
2;Execute blasting;2022-04-01 21:47:15;2022-04-01 22:09:37;Hugo;29002
2;Review blasting results;2022-04-01 22:20:44;2022-04-01 22:45:09;Clara;9095
2;Prepare report of anomalies;2022-04-01 22:50:34;2022-04-01 23:04:50;Hugo;4232
2;Analyze measures to take;2022-04-01 23:09:58;2022-04-01 23:41:50;Rosa;12481
2;Generate blasting report;2022-04-01 23:49:26;2022-04-02 00:03:11;Hugo;4079
3;Coordinate verification of polygon pits status;2022-04-02 08:05:10;2022-04-02 08:17:48;Pedro;4653
3;Make observations in drilling diagram;2022-04-02 08:23:44;2022-04-02 08:26:41;Hugo;1023
3;Revise drilling of polygon pits;2022-04-02 08:29:57;2022-04-02 09:05:14;Juan;28197
3;Coordinate terrain revision;2022-04-02 09:12:02;2022-04-02 09:18:57;Pedro;2893
3;Revise terrain;2022-04-02 10:56:13;2022-04-02 12:03:22;GM&PS;66031
3;Load pits with explosives;2022-04-02 12:11:26;2022-04-02 13:56:11;Hugo;52026
3;Design evacuation card;2022-04-02 14:00:15;2022-04-02 14:24:44;Rosa;10813
3;Evacuate blasting zone;2022-04-02 14:30:03;2022-04-02 15:03:09;Pedro;15502
3;Execute blasting;2022-04-02 15:05:21;2022-04-02 15:24:30;Hugo;24831
3;Review blasting results;2022-04-02 15:35:26;2022-04-02 15:58:37;Pedro;8539
3;Prepare report of anomalies;2022-04-02 16:03:58;2022-04-02 16:19:11;Hugo;4514
3;Analyze measures to take;2022-04-02 16:24:41;2022-04-02 16:51:04;Rosa;10333
3;Generate blasting report;2022-04-02 16:58:43;2022-04-02 17:14:10;Hugo;4584
4;Coordinate verification of polygon pits status;2022-04-03 08:07:54;2022-04-03 08:14:10;Clara;2334
4;Load pits with explosives;2022-04-03 08:35:37;2022-04-03 10:28:41;Luis;56062
4;Design evacuation card;2022-04-03 10:32:18;2022-04-03 10:56:57;Rosa;10887
4;Evacuate blasting zone;2022-04-03 11:02:06;2022-04-03 11:26:09;Clara;11364
4;Execute blasting;2022-04-03 11:28:18;2022-04-03 11:45:30;Luis;22288
4;Review blasting results;2022-04-03 11:56:22;2022-04-03 12:20:43;Clara;9070
4;Generate blasting report;2022-04-03 12:29:13;2022-04-03 12:43:23;Luis;4191
5;Coordinate verification of polygon pits status;2022-04-03 12:50:47;2022-04-03 12:55:16;Clara;1670
5;Load pits with explosives;2022-04-03 13:16:27;2022-04-03 15:01:23;Luis;52029
5;Design evacuation card;2022-04-03 15:04:43;2022-04-03 15:27:50;Rosa;10210
5;Evacuate blasting zone;2022-04-03 15:31:23;2022-04-03 15:58:21;Clara;12742
5;Execute blasting;2022-04-03 16:00:25;2022-04-03 16:16:35;Luis;20949
5;Review blasting results;2022-04-03 16:27:40;2022-04-03 16:52:10;Clara;9126
5;Prepare report of anomalies;2022-04-03 16:57:30;2022-04-03 17:09:50;Luis;3649
5;Analyze measures to take;2022-04-03 17:15:05;2022-04-03 17:46:07;Rosa;12155
5;Generate blasting report;2022-04-03 17:53:47;2022-04-03 18:08:30;Luis;4354
6;Coordinate verification of polygon pits status;2022-04-04 08:05:12;2022-04-04 08:19:17;Pedro;5187
6;Make observations in drilling diagram;2022-04-04 08:25:01;2022-04-04 08:28:55;Luis;1349
6;Coordinate terrain revision;2022-04-04 08:36:16;2022-04-04 08:45:02;Pedro;3667
6;Revise terrain;2022-04-04 10:20:57;2022-04-04 11:24:11;GM&PS;62179
6;Load pits with explosives;2022-04-04 11:32:33;2022-04-04 13:17:42;Luis;52137
6;Design evacuation card;2022-04-04 13:20:47;2022-04-04 13:47:37;Rosa;11851
6;Evacuate blasting zone;2022-04-04 13:52:08;2022-04-04 14:25:24;Pedro;15580
6;Execute blasting;2022-04-04 14:27:34;2022-04-04 14:49:07;Luis;27925
6;Review blasting results;2022-04-04 14:59:59;2022-04-04 15:23:19;Pedro;8594
6;Generate blasting report;2022-04-04 15:31:42;2022-04-04 15:45:36;Luis;4112
7;Coordinate verification of polygon pits status;2022-04-04 15:54:00;2022-04-04 16:05:31;Pedro;4242
7;Load pits with explosives;2022-04-04 16:26:56;2022-04-04 17:55:16;Luis;43799
7;Design evacuation card;2022-04-04 17:58:57;2022-04-04 18:22:56;Rosa;10593
7;Evacuate blasting zone;2022-04-04 18:29:25;2022-04-04 19:05:49;Pedro;17047
7;Execute blasting;2022-04-04 19:08:04;2022-04-04 19:27:23;Luis;25031
7;Review blasting results;2022-04-04 19:38:18;2022-04-04 20:01:47;Pedro;8650
7;Prepare report of anomalies;2022-04-04 20:07:12;2022-04-04 20:20:53;Luis;4048
7;Analyze measures to take;2022-04-04 20:25:35;2022-04-04 20:58:23;Rosa;12847
7;Generate blasting report;2022-04-04 21:06:08;2022-04-04 21:20:18;Luis;4191
8;Coordinate verification of polygon pits status;2022-04-05 08:07:09;2022-04-05 08:11:32;Clara;1633
8;Load pits with explosives;2022-04-05 08:32:35;2022-04-05 10:10:24;Luis;48501
8;Design evacuation card;2022-04-05 10:14:48;2022-04-05 10:38:56;Rosa;10659
8;Evacuate blasting zone;2022-04-05 10:43:43;2022-04-05 11:11:32;Clara;13143
8;Execute blasting;2022-04-05 11:13:47;2022-04-05 11:34:10;Luis;26413
8;Review blasting results;2022-04-05 11:45:16;2022-04-05 12:09:37;Clara;9070
8;Prepare report of anomalies;2022-04-05 12:15:06;2022-04-05 12:27:39;Luis;3713
8;Analyze measures to take;2022-04-05 12:33:38;2022-04-05 13:06:11;Rosa;12749
8;Execute blasting revision;2022-04-05 13:23:36;2022-04-05 14:01:59;Luis;55496
8;Review blasting results;2022-04-05 14:13:06;2022-04-05 14:37:09;Clara;8959
8;Generate blasting report;2022-04-05 14:45:29;2022-04-05 14:59:14;Luis;4068
9;Coordinate verification of polygon pits status;2022-04-05 15:05:24;2022-04-05 15:11:37;Clara;2316
9;Load pits with explosives;2022-04-05 15:33:04;2022-04-05 17:23:28;Paco;55016
9;Design evacuation card;2022-04-05 17:26:45;2022-04-05 17:53:14;Rosa;11697
9;Evacuate blasting zone;2022-04-05 17:57:05;2022-04-05 18:20:51;Clara;11230
9;Execute blasting;2022-04-05 18:23:06;2022-04-05 18:39:33;Paco;21358
9;Review blasting results;2022-04-05 18:50:21;2022-04-05 19:14:26;Clara;8971
